Altium Designer Pick and Place Locations
C:\Users\lawfu\Documents\PCB\pcb-for-fpga-breakout\Project Outputs for FPGA_breakout_board\pick_and_place\Pick Place\fpga_breakout_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       22/06/25
Time:       11:36
Revision:   a6843d68886d85eac3e3c051eae105d2d9b540b3
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R21","DNP","TopLayer","RESC3216X70X50LL05T20","3997.500mil","2472.500mil","270",""
"R20","DNP","TopLayer","RESC3216X70X50LL05T20","3772.500mil","2472.500mil","270",""
"U2","SN74AXC8T245RHLR","TopLayer","FP-RHL0024A-MFG","3947.461mil","2915.787mil","0","IC TRNSLTR BIDIRECTIONAL 24VQFN"
"R10","20k","TopLayer","RESC1608X55X30ML15T15","4762.500mil","4207.500mil","180",""
"P1","61300311121","TopLayer","61300311121","4810.000mil","4367.500mil","180",""
"C11","4.3u","TopLayer","FP-LLL1U4-0_05-IPC_C","6237.500mil","2113.000mil","0","Cap Ceramic Monolithic 4.3uF 20% 4V X5R 15% 02404 (0610M)"
"J_SDA2","TSW-102-07-G-S","TopLayer","FP-TSW-102-07-G-S-MFG","2535.000mil","1215.000mil","0","CONN HEADER VERT 2POS 2.54MM"
"J_SDA1","TSW-102-07-G-S","TopLayer","FP-TSW-102-07-G-S-MFG","2245.000mil","1850.000mil","90","CONN HEADER VERT 2POS 2.54MM"
"J_SCL2","TSW-102-07-G-S","TopLayer","FP-TSW-102-07-G-S-MFG","2535.000mil","1400.000mil","0","CONN HEADER VERT 2POS 2.54MM"
"J_SCL1","TSW-102-07-G-S","TopLayer","FP-TSW-102-07-G-S-MFG","2105.000mil","1852.500mil","90","CONN HEADER VERT 2POS 2.54MM"
"C6","4.3u","TopLayer","FP-LLL1U4-0_05-IPC_C","3077.585mil","2539.629mil","180","Cap Ceramic Monolithic 4.3uF 20% 4V X5R 15% 02404 (0610M)"
"U1","TLV1117LV33DCYR","TopLayer","DCY0004A_N","6169.763mil","2388.285mil","270","Single Output LDO, 1 A, Fixed 3.3 V Output, 2 to 5.5 V Input, 4-pin SOT-223 (DCY), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"J_GP3","5019","TopLayer","FP-5019-MFG","5495.000mil","1407.500mil","180",""
"J_GP2","5019","TopLayer","FP-5019-MFG","5085.000mil","2417.500mil","270",""
"J_GP1","5019","TopLayer","FP-5019-MFG","5535.000mil","2417.500mil","270",""
"J_GP0","5019","TopLayer","FP-5019-MFG","5760.000mil","2417.500mil","90",""
"J2","TSW-107-07-G-S","TopLayer","FP-TSW-107-07-G-S-MFG","5655.000mil","1587.500mil","180","CONN HEADER VERT 7POS 2.54MM"
"J1","TSW-107-07-G-S","TopLayer","FP-TSW-107-07-G-S-MFG","5655.000mil","2187.500mil","180","CONN HEADER VERT 7POS 2.54MM"
"C20","4.3u","TopLayer","FP-LLL1U4-0_05-IPC_C","6087.500mil","2690.000mil","0","Cap Ceramic Monolithic 4.3uF 20% 4V X5R 15% 02404 (0610M)"
"C7","4.3u","TopLayer","FP-LLL1U4-0_05-IPC_C","6087.500mil","2617.500mil","0","Cap Ceramic Monolithic 4.3uF 20% 4V X5R 15% 02404 (0610M)"
